term_set,label,pattern,attr,replace,extra1,extra2
insect_anatomy,part,cerci,lower,cercus,,
insect_anatomy,part,cercus,lower,cercus,,
insect_anatomy,part,cross-vein,lower,crossvein,,
insect_anatomy,part,cross-veins,lower,crossvein,,
insect_anatomy,part,crossvein,lower,crossvein,,
insect_anatomy,part,crossveins,lower,crossvein,,
insect_anatomy,part,epiproct,lower,,,
insect_anatomy,part,eye,lower,eye,,
insect_anatomy,part,eyes,lower,eye,,
insect_anatomy,part,face,lower,,,
insect_anatomy,part,femora,lower,femur,,
insect_anatomy,part,femur,lower,femur,,
insect_anatomy,part,femurs,lower,femur,,
insect_anatomy,part,fimbriae,lower,,,
insect_anatomy,part,foreleg,lower,foreleg,,
insect_anatomy,part,forelegs,lower,foreleg,,
insect_anatomy,part,forewing,lower,forewing,,
insect_anatomy,part,forewings,lower,forewing,,
insect_anatomy,part,frons,lower,,,
insect_anatomy,part,genitalia,lower,genital,,
insect_anatomy,part,genitals,lower,genital,,
insect_anatomy,part,gonopod,lower,,,
insect_anatomy,part,gonopods,lower,gonopod,,
insect_anatomy,part,gula,lower,,,
insect_anatomy,part,head,lower,,,
insect_anatomy,part,hindleg,lower,,,
insect_anatomy,part,hindlegs,lower,hindleg,,
insect_anatomy,part,hindwing,lower,hindwing,,
insect_anatomy,part,hindwings,lower,hindwing,,
insect_anatomy,part,hypopharynx,lower,,,
insect_anatomy,part,leg,lower,leg,,
insect_anatomy,part,legs,lower,leg,,
insect_anatomy,part,mandible,lower,mandible,,
insect_anatomy,part,mandibles,lower,mandible,,
insect_anatomy,part,mesonotum,lower,,,
insect_anatomy,part,mesothorax,lower,,,
insect_anatomy,part,metanotum,lower,,,
insect_anatomy,part,metapleurite,lower,,,
insect_anatomy,part,metasternum,lower,,,
insect_anatomy,part,metathorax,lower,,,
insect_anatomy,part,ocelli,lower,ocellus,,
insect_anatomy,part,ocellus,lower,ocellus,,
insect_anatomy,part,ommatidia,lower,ommatidium,,
insect_anatomy,part,ommatidium,lower,ommatidium,,
insect_anatomy,part,paramere,lower,paramere,,
insect_anatomy,part,parameres,lower,paramere,,
insect_anatomy,part,phanerum,lower,,,
insect_anatomy,part,pleurite,lower,pleurite,,
insect_anatomy,part,pleurites,lower,pleurite,,
insect_anatomy,part,prothorax,lower,,,
insect_anatomy,part,pronotum,lower,,,
insect_anatomy,part,protonotum,lower,,,
insect_anatomy,part,pterostigma,lower,stigma,,
insect_anatomy,part,pterostigmas,lower,stigma,,
insect_anatomy,part,pterostigmata,lower,stigma,,
insect_anatomy,part,spiracle,lower,spiracle,,
insect_anatomy,part,spiracles,lower,spiracle,,
insect_anatomy,part,sternite,lower,sternite,,
insect_anatomy,part,sternites,lower,sternite,,
insect_anatomy,part,sternum,lower,,,
insect_anatomy,part,stigma,lower,stigma,,
insect_anatomy,part,stigmas,lower,stigma,,
insect_anatomy,part,stigmata,lower,stigma,,
