term_set,label,pattern,attr,replace
insect_anatomy,part_loc,posterior,lower,
insect_anatomy,part_loc,postero-medial,lower,posteromedial
insect_anatomy,part_loc,posteromedial,lower,
insect_anatomy,part_loc,postocular ,lower,
insect_anatomy,part_loc,postspiracular,lower,
insect_anatomy,part_loc,preantennal,lower,
insect_anatomy,part_loc,preocular,lower,
insect_anatomy,part_loc,principal,lower,
insect_anatomy,part_loc,prolateral,lower,
insect_anatomy,part_loc,proximal,lower,
insect_anatomy,part_loc,rear,lower,
insect_anatomy,part_loc,retrolateral,lower,
insect_anatomy,part_loc,retroversion,lower,
insect_anatomy,part_loc,sagittal,lower,
insect_anatomy,part_loc,sectoral,lower,
insect_anatomy,part_loc,side,lower,side
insect_anatomy,part_loc,sides,lower,side
insect_anatomy,part_loc,spiracular,lower,
insect_anatomy,part_loc,sternal,lower,
insect_anatomy,part_loc,subapical,lower,
insect_anatomy,part_loc,subcosta,lower,
insect_anatomy,part_loc,subgenital,lower,
insect_anatomy,part_loc,superficial,lower,
insect_anatomy,part_loc,supra-antennal,lower,supraantennal
insect_anatomy,part_loc,supraantennal,lower,
insect_anatomy,part_loc,sutural,lower,
insect_anatomy,part_loc,tailed,lower,
insect_anatomy,part_loc,tergal,lower,
insect_anatomy,part_loc,terminal,lower,
insect_anatomy,part_loc,thoracic,lower,
insect_anatomy,part_loc,transverse,lower,
insect_anatomy,part_loc,underside,lower,
insect_anatomy,part_loc,unilateral,lower,
insect_anatomy,part_loc,upper,lower,
insect_anatomy,part_loc,valgus,lower,
insect_anatomy,part_loc,varus,lower,
insect_anatomy,part_loc,ventral,lower,
insect_anatomy,part_loc,ventro-lateral,lower,ventrolateral
insect_anatomy,part_loc,ventrolateral,lower,
insect_anatomy,part_loc,visceral,lower,
insect_anatomy,part_loc,vulval,lower,
insect_anatomy,part_loc,vulvar,lower,
insect_anatomy,subpart,brush,lower,
insect_anatomy,subpart,end,lower,
insect_anatomy,subpart,ends,lower,
insect_anatomy,subpart,fringe,lower,
insect_anatomy,subpart,horn,lower,horn
insect_anatomy,subpart,horns,lower,horn
insect_anatomy,subpart,margin,lower,margin
insect_anatomy,subpart,margins,lower,margin
insect_anatomy,subpart,plate,lower,plate
insect_anatomy,subpart,plates,lower,plate
insect_anatomy,subpart,sclerite,lower,sclerite
insect_anatomy,subpart,sclerites,lower,sclerite
insect_anatomy,subpart,segment,lower,segment
insect_anatomy,subpart,segments,lower,segment
insect_anatomy,subpart,side,lower,
insect_anatomy,subpart,sides,lower,
insect_anatomy,subpart,suture,lower,
insect_anatomy,subpart,sutures,lower,suture
insect_anatomy,subpart,tip,lower,
insect_anatomy,subpart,tips,lower,
