term_set,label,pattern,attr,replace,inside,postal
us_locations,us_county,bethel,lower,,AK,
us_locations,us_county,bexar,lower,,TX,
us_locations,us_county,bibb,lower,,AL GA,
us_locations,us_county,bienville,lower,,LA,
us_locations,us_county,big horn,lower,,MT WY,
us_locations,us_county,big stone,lower,,MN,
us_locations,us_county,billings,lower,,ND,
us_locations,us_county,bingham,lower,,ID,
us_locations,us_county,black hawk,lower,,IA,
us_locations,us_county,blackford,lower,,IN,
us_locations,us_county,bladen,lower,,NC,
us_locations,us_county,blaine,lower,,ID MT NE OK,
us_locations,us_county,blair,lower,,PA,
us_locations,us_county,blanco,lower,,TX,
us_locations,us_county,bland,lower,,VA,
us_locations,us_county,bleckley,lower,,GA,
us_locations,us_county,bledsoe,lower,,TN,
us_locations,us_county,blount,lower,,AL TN,
us_locations,us_county,blue earth,lower,,MN,
us_locations,us_county,boise,lower,,ID,
us_locations,us_county,bolivar,lower,,MS,
us_locations,us_county,bollinger,lower,,MO,
us_locations,us_county,bon homme,lower,,SD,
us_locations,us_county,bond,lower,,IL,
us_locations,us_county,bonner,lower,,ID,
us_locations,us_county,bonneville,lower,,ID,
us_locations,us_county,boone,lower,,AR IL IN IA KY MO NE WV,
us_locations,us_county,borden,lower,,TX,
us_locations,us_county,bosque,lower,,TX,
us_locations,us_county,bossier,lower,,LA,
us_locations,us_county,botetourt,lower,,VA,
us_locations,us_county,bottineau,lower,,ND,
us_locations,us_county,boulder,lower,,CO,
us_locations,us_county,boundary,lower,,ID,
us_locations,us_county,bourbon,lower,,KS KY,
us_locations,us_county,bowie,lower,,TX,
us_locations,us_county,bowman,lower,,ND,
us_locations,us_county,box butte,lower,,NE,
us_locations,us_county,box elder,lower,,UT,
us_locations,us_county,boyd,lower,,KY NE,
us_locations,us_county,boyle,lower,,KY,
us_locations,us_county,bracken,lower,,KY,
us_locations,us_county,bradford,lower,,FL PA,
us_locations,us_county,bradley,lower,,AR TN,
us_locations,us_county,branch,lower,,MI,
us_locations,us_county,brantley,lower,,GA,
us_locations,us_county,braxton,lower,,WV,
us_locations,us_county,brazoria,lower,,TX,
us_locations,us_county,brazos,lower,,TX,
us_locations,us_county,breathitt,lower,,KY,
us_locations,us_county,breckinridge,lower,,KY,
us_locations,us_county,bremer,lower,,IA,
us_locations,us_county,brevard,lower,,FL,
us_locations,us_county,brewster,lower,,TX,
us_locations,us_county,briscoe,lower,,TX,
us_locations,us_county,bristol,lower,,MA RI VA,
us_locations,us_county,bristol bay,lower,,AK,
us_locations,us_county,broadwater,lower,,MT,
us_locations,us_county,bronx,lower,,NY,
us_locations,us_county,brooke,lower,,WV,
us_locations,us_county,brookings,lower,,SD,
us_locations,us_county,brooks,lower,,GA TX,
us_locations,us_county,broome,lower,,NY,
us_locations,us_county,broomfield,lower,,CO,
us_locations,us_county,broward,lower,,FL,
us_locations,us_county,brown,lower,,IL IN KS MN NE OH SD TX WI,
us_locations,us_county,brule,lower,,SD,
us_locations,us_county,brunswick,lower,,NC VA,
us_locations,us_county,bryan,lower,,GA OK,
us_locations,us_county,buchanan,lower,,IA MO VA,
us_locations,us_county,buckingham,lower,,VA,
us_locations,us_county,bucks,lower,,PA,
us_locations,us_county,buena vista,lower,,IA VA,
us_locations,us_county,buffalo,lower,,NE SD WI,
us_locations,us_county,bullitt,lower,,KY,
us_locations,us_county,bulloch,lower,,GA,
