label,pattern,attr,replace,inside,postal
us_county,bonner,lower,,ID,
us_county,bonneville,lower,,ID,
us_county,boone,lower,,AR IL IN IA KY MO NE WV,
us_county,borden,lower,,TX,
us_county,bosque,lower,,TX,
us_county,bossier,lower,,LA,
us_county,botetourt,lower,,VA,
us_county,bottineau,lower,,ND,
us_county,boulder,lower,,CO,
us_county,boundary,lower,,ID,
us_county,bourbon,lower,,KS KY,
us_county,bowie,lower,,TX,
us_county,bowman,lower,,ND,
us_county,box butte,lower,,NE,
us_county,box elder,lower,,UT,
us_county,boyd,lower,,KY NE,
us_county,boyle,lower,,KY,
us_county,bracken,lower,,KY,
us_county,bradford,lower,,FL PA,
us_county,bradley,lower,,AR TN,
us_county,branch,lower,,MI,
us_county,brantley,lower,,GA,
us_county,braxton,lower,,WV,
us_county,brazoria,lower,,TX,
us_county,brazos,lower,,TX,
us_county,breathitt,lower,,KY,
us_county,breckinridge,lower,,KY,
us_county,bremer,lower,,IA,
us_county,brevard,lower,,FL,
us_county,brewster,lower,,TX,
us_county,briscoe,lower,,TX,
us_county,bristol,lower,,MA RI VA,
us_county,bristol bay,lower,,AK,
us_county,broadwater,lower,,MT,
us_county,bronx,lower,,NY,
us_county,brooke,lower,,WV,
us_county,brookings,lower,,SD,
us_county,brooks,lower,,GA TX,
us_county,broome,lower,,NY,
us_county,broomfield,lower,,CO,
us_county,broward,lower,,FL,
us_county,brown,lower,,IL IN KS MN NE OH SD TX WI,
us_county,brule,lower,,SD,
us_county,brunswick,lower,,NC VA,
us_county,bryan,lower,,GA OK,
us_county,buchanan,lower,,IA MO VA,
us_county,buckingham,lower,,VA,
us_county,bucks,lower,,PA,
us_county,buena vista,lower,,IA VA,
us_county,buffalo,lower,,NE SD WI,
us_county,bullitt,lower,,KY,
us_county,bulloch,lower,,GA,
us_county,bullock,lower,,AL,
us_county,buncombe,lower,,NC,
us_county,bureau,lower,,IL,
us_county,burke,lower,,GA NC ND,
us_county,burleigh,lower,,ND,
us_county,burleson,lower,,TX,
us_county,burlington,lower,,NJ,
us_county,burnet,lower,,TX,
us_county,burnett,lower,,WI,
us_county,burt,lower,,NE,
us_county,butler,lower,,AL IA KS KY MO NE OH PA,
us_county,butte,lower,,CA ID SD,
us_county,butts,lower,,GA,
us_county,cabarrus,lower,,NC,
us_county,cabell,lower,,WV,
us_county,cache,lower,,UT,
us_county,caddo,lower,,LA OK,
us_county,calaveras,lower,,CA,
us_county,calcasieu,lower,,LA,
us_county,caldwell,lower,,KY LA MO NC TX,
us_county,caledonia,lower,,VT,
us_county,calhoun,lower,,AL AR FL GA IL IA MI MS SC TX WV,
us_county,callahan,lower,,TX,
us_county,callaway,lower,,MO,
us_county,calloway,lower,,KY,
us_county,calumet,lower,,WI,
us_county,calvert,lower,,MD,
us_county,camas,lower,,ID,
us_county,cambria,lower,,PA,
us_county,camden,lower,,GA MO NJ NC,
us_county,cameron,lower,,LA PA TX,
us_county,camp,lower,,TX,
us_county,campbell,lower,,KY SD TN VA WY,
us_county,canadian,lower,,OK,
us_county,candler,lower,,GA,
us_county,cannon,lower,,TN,
us_county,canyon,lower,,ID,
us_county,cape girardeau,lower,,MO,
us_county,cape may,lower,,NJ,
us_county,carbon,lower,,MT PA UT WY,
us_county,caribou,lower,,ID,
us_county,carlisle,lower,,KY,
us_county,carlton,lower,,MN,
us_county,caroline,lower,,MD VA,
us_county,carroll,lower,,AR GA IL IN IA KY MD MS MO NH OH TN VA,
us_county,carson,lower,,TX,
us_county,carson city,lower,,NV,
us_county,carter,lower,,KY MO MT OK TN,
us_county,carteret,lower,,NC,
us_county,carver,lower,,MN,
us_county,cascade,lower,,MT,
us_county,casey,lower,,KY,
us_county,cass,lower,,IL IN IA MI MN MO NE ND TX,
us_county,cassia,lower,,ID,
us_county,castro,lower,,TX,
us_county,caswell,lower,,NC,
us_county,catahoula,lower,,LA,
us_county,catawba,lower,,NC,
us_county,catoosa,lower,,GA,
us_county,catron,lower,,NM,
us_county,cattaraugus,lower,,NY,
us_county,cavalier,lower,,ND,
us_county,cayuga,lower,,NY,
us_county,cecil,lower,,MD,
us_county,cedar,lower,,IA MO NE,
us_county,centre,lower,,PA,
us_county,cerro gordo,lower,,IA,
us_county,chaffee,lower,,CO,
us_county,chambers,lower,,AL TX,
us_county,champaign,lower,,IL OH,
us_county,chariton,lower,,MO,
us_county,charles,lower,,MD,
us_county,charles city,lower,,VA,
us_county,charles mix,lower,,SD,
us_county,charleston,lower,,SC,
us_county,charlevoix,lower,,MI,
us_county,charlotte,lower,,FL VA,
us_county,charlottesville,lower,,VA,
us_county,charlton,lower,,GA,
us_county,chase,lower,,KS NE,
us_county,chatham,lower,,GA NC,
us_county,chattahoochee,lower,,GA,
us_county,chattooga,lower,,GA,
us_county,chautauqua,lower,,KS NY,
us_county,chaves,lower,,NM,
us_county,cheatham,lower,,TN,
us_county,cheboygan,lower,,MI,
us_county,chelan,lower,,WA,
us_county,chemung,lower,,NY,
us_county,chenango,lower,,NY,
us_county,cherokee,lower,,AL GA IA KS NC OK SC TX,
us_county,cherry,lower,,NE,
us_county,chesapeake,lower,,VA,
us_county,cheshire,lower,,NH,
us_county,chester,lower,,PA SC TN,
us_county,chesterfield,lower,,SC VA,
us_county,cheyenne,lower,,CO KS NE,
us_county,chickasaw,lower,,IA MS,
us_county,chicot,lower,,AR,
us_county,childress,lower,,TX,
us_county,chilton,lower,,AL,
us_county,chippewa,lower,,MI MN WI,
us_county,chisago,lower,,MN,
us_county,chittenden,lower,,VT,
us_county,choctaw,lower,,AL MS OK,
us_county,chouteau,lower,,MT,
us_county,chowan,lower,,NC,
us_county,christian,lower,,IL KY MO,
us_county,churchill,lower,,NV,
us_county,cibola,lower,,NM,
us_county,cimarron,lower,,OK,
us_county,citrus,lower,,FL,
us_county,clackamas,lower,,OR,
us_county,claiborne,lower,,LA MS TN,
us_county,clallam,lower,,WA,
us_county,clare,lower,,MI,
us_county,clarendon,lower,,SC,
us_county,clarion,lower,,PA,
us_county,clark,lower,,AR ID IL IN KS KY MO NV OH SD WA WI,
us_county,clarke,lower,,AL GA IA MS VA,
us_county,clatsop,lower,,OR,
us_county,clay,lower,,AL AR FL GA IL IN IA KS KY MN MS MO NE NC SD TN TX WV,
us_county,clayton,lower,,GA IA,
us_county,clear creek,lower,,CO,
us_county,clearfield,lower,,PA,
us_county,clearwater,lower,,ID MN,
us_county,cleburne,lower,,AL AR,
us_county,clermont,lower,,OH,
us_county,cleveland,lower,,AR NC OK,
us_county,clifton forge,lower,,VA,
us_county,clinch,lower,,GA,
us_county,clinton,lower,,IL IN IA KY MI MO NY OH PA,
us_county,cloud,lower,,KS,
us_county,coahoma,lower,,MS,
us_county,coal,lower,,OK,
us_county,cobb,lower,,GA,
us_county,cochise,lower,,AZ,
us_county,cochran,lower,,TX,
us_county,cocke,lower,,TN,
us_county,coconino,lower,,AZ,
us_county,codington,lower,,SD,
us_county,coffee,lower,,AL GA TN,
us_county,coffey,lower,,KS,
us_county,coke,lower,,TX,
us_county,colbert,lower,,AL,
us_county,cole,lower,,MO,
us_county,coleman,lower,,TX,
us_county,coles,lower,,IL,
us_county,colfax,lower,,NE NM,
us_county,colleton,lower,,SC,
us_county,collier,lower,,FL,
us_county,collin,lower,,TX,
us_county,collingsworth,lower,,TX,
us_county,colonial heights,lower,,VA,
us_county,colquitt,lower,,,
us_county,columbia,lower,,AR FL GA NY OR PA WA WI,
us_county,columbiana,lower,,OH,
us_county,columbus,lower,,NC,
us_county,colusa,lower,,CA,
us_county,comal,lower,,TX,
us_county,comanche,lower,,KS OK TX,
us_county,concho,lower,,TX,
us_county,concordia,lower,,LA,
us_county,conecuh,lower,,AL,
us_county,conejos,lower,,CO,
us_county,contra costa,lower,,CA,
us_county,converse,lower,,WY,
us_county,conway,lower,,AR,
us_county,cook,lower,,GA IL MN,
us_county,cooke,lower,,TX,
us_county,cooper,lower,,MO,
us_county,coos,lower,,NH OR,
us_county,coosa,lower,,AL,
us_county,copiah,lower,,MS,
us_county,corson,lower,,SD,
us_county,cortland,lower,,NY,
us_county,coryell,lower,,TX,
us_county,coshocton,lower,,OH,
us_county,costilla,lower,,CO,
us_county,cottle,lower,,TX,
us_county,cotton,lower,,OK,
us_county,cottonwood,lower,,MN,
us_county,covington,lower,,AL MS VA,
us_county,coweta,lower,,GA,
us_county,cowley,lower,,KS,
us_county,cowlitz,lower,,WA,
us_county,craig,lower,,OK VA,
us_county,craighead,lower,,AR,
us_county,crane,lower,,TX,
us_county,craven,lower,,NC,
us_county,crawford,lower,,AR GA IL IN IA KS MI MO OH PA WI,
us_county,creek,lower,,OK,
us_county,crenshaw,lower,,AL,
us_county,crisp,lower,,GA,
us_county,crittenden,lower,,AR KY,
us_county,crockett,lower,,TN TX,
us_county,crook,lower,,OR WY,
us_county,crosby,lower,,TX,
us_county,cross,lower,,AR,
us_county,crow wing,lower,,MN,
us_county,crowley,lower,,CO,
us_county,culberson,lower,,TX,
us_county,cullman,lower,,AL,
us_county,culpeper,lower,,VA,
us_county,cumberland,lower,,IL KY ME NJ NC PA TN VA,
us_county,cuming,lower,,NE,
us_county,currituck,lower,,NC,
us_county,curry,lower,,NM OR,
us_county,custer,lower,,CO ID MT NE OK SD,
us_county,cuyahoga,lower,,OH,
us_county,dade,lower,,GA MO,
us_county,daggett,lower,,UT,
us_county,dakota,lower,,MN NE,
us_county,dale,lower,,AL,
us_county,dallam,lower,,TX,
us_county,dallas,lower,,AL AR IA MO TX,
us_county,dane,lower,,WI,
us_county,daniels,lower,,MT,
us_county,danville,lower,,VA,
us_county,dare,lower,,NC,
us_county,darke,lower,,OH,
us_county,darlington,lower,,SC,
us_county,dauphin,lower,,PA,
us_county,davidson,lower,,NC TN,
us_county,davie,lower,,NC,
us_county,daviess,lower,,IN KY MO,
us_county,davis,lower,,IA UT,
us_county,davison,lower,,SD,
us_county,dawes,lower,,NE,
us_county,dawson,lower,,GA MT NE TX,
us_county,day,lower,,SD,
us_county,de baca,lower,,NM,
us_county,de soto,lower,,LA,
us_county,de witt,lower,,IL,
us_county,deaf smith,lower,,TX,
us_county,dearborn,lower,,IN,
us_county,decatur,lower,,GA IN IA KS TN,
us_county,deer lodge,lower,,MT,
us_county,defiance,lower,,OH,
us_county,dekalb,lower,,AL GA IL IN MO TN,
us_county,del norte,lower,,CA,
us_county,delta,lower,,CO MI TX,
us_county,denali,lower,,AK,
us_county,dent,lower,,MO,
us_county,denton,lower,,TX,
us_county,denver,lower,,CO,
us_county,des moines,lower,,IA,
us_county,deschutes,lower,,OR,
us_county,desha,lower,,AR,
us_county,desoto,lower,,FL MS,
us_county,deuel,lower,,NE SD,
us_county,dewey,lower,,OK SD,
us_county,dewitt,lower,,TX,
us_county,dickens,lower,,TX,
us_county,dickenson,lower,,VA,
us_county,dickey,lower,,ND,
us_county,dickinson,lower,,IA KS MI,
us_county,dickson,lower,,TN,
us_county,dillingham,lower,,AK,
us_county,dillon,lower,,SC,
us_county,dimmit,lower,,TX,
us_county,dinwiddie,lower,,VA,
us_county,district of columbia,lower,,DC,
us_county,divide,lower,,ND,
us_county,dixie,lower,,FL,
