icode,gbifdatasetid,harvestfoldernew
UWYMV,b11cbb9e-8ee0-4d9a-8eac-da5d5ab53a31,vertnet-harvesting/data/2016-07-15/UWYMV-uwymv_herp
UWYMV,f36b26ac-97d1-40f6-a9a0-484defff98e7,vertnet-harvesting/data/2016-07-15/UWYMV-uwymv_mamm
WAM,7c93d290-6c8b-11de-8226-b8a03c50a862,vertnet-harvesting/data/2016-07-17/WAM-wam_all
WFVZ,8be43f9b-52e7-47d4-be3e-dbcc066d70ab,vertnet-harvesting/data/2016-07-20/WFVZ-wfvz_birds
WNMU,bdce0b4b-9ec3-481b-9f44-683ac1844d1d,vertnet-harvesting/data/2016-07-15/WNMU-wnmu_bird
WNMU,0b1be9d9-3825-4306-adf0-60551ee0dd31,vertnet-harvesting/data/2016-07-15/WNMU-wnmu_fish
WNMU,8855595b-a836-4557-b17b-794aadda747a,vertnet-harvesting/data/2016-07-15/WNMU-wnmu_mamm
YPM,9643f840-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/YPM-ipt_vp
YPM,861d3d64-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/YPM-ipt_vz_her
YPM,96419bea-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/YPM-ipt_vz_ich
YPM,854f602e-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/YPM-ipt_vz_mam
YPM,854cf79e-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/YPM-ipt_vz_orn
ZMUC,cb643105-2e6b-403d-a23b-2c8128d1f97c,vertnet-harvesting/data/2016-07-20/ZMUC-amphibians
ZMUC,af3bce08-0599-45a6-9bfc-08188bcd868e,vertnet-harvesting/data/2016-07-15/ZMUC-aves_tanza
ZMUC,84dbaec2-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-20/ZMUC-ds10
ZMUC,84d8287e-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-20/ZMUC-ds12
ZMUC,84c4638e-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/ZMUC-ds28
ZMUC,86523cda-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-15/ZMUC-ds30
